id,nama,ring_kategori,ring_level,kabupaten,karesidenan,zona_ekologi,latitude,longitude,wkt_geom,youtube_url
"SLJT-R2-017","Macapat Semarangan","Ring 2 - Terverifikasi Teks",2,"Kota Semarang","Karesidenan Semarang","Pesisir Pantura & Dialek Semarangan",-6.996744,110.455219,"POINT(110.455219 -6.996744)",""
"SLJT-R2-018","Santiswara Larasmadya","Ring 2 - Terverifikasi Teks",2,"Jawa Tengah (Pusat Surakarta)","Karesidenan Surakarta","Pusat Keraton & Pesantren Tradisi",-7.117988,110.108126,"POINT(110.108126 -7.117988)",""
"SLJT-R2-019","Sintren Kabupaten Pekalongan","Ring 2 - Terverifikasi Teks",2,"Kabupaten Pekalongan","Karesidenan Pekalongan","Pesisir Pantura & Kaki Pegunungan",-7.069989,109.62557,"POINT(109.62557 -7.069989)",""
"SLJT-R2-020","Tari Gambiranom Surakarta","Ring 2 - Terverifikasi Teks",2,"Kota Surakarta","Karesidenan Surakarta","Pusat Kebudayaan Mataram Surakarta",-7.550942,110.841323,"POINT(110.841323 -7.550942)",""
"SLJT-R2-021","Tari Soreng","Ring 2 - Terverifikasi Teks",2,"Jawa Tengah (Kab. Magelang)","Karesidenan Kedu","Lereng Merapi-Merbabu",-7.154372,110.105002,"POINT(110.105002 -7.154372)",""
"SLJT-R2-022","Tari Topeng Lengger Wonosobo","Ring 2 - Terverifikasi Teks",2,"Kabupaten Wonosobo","Karesidenan Kedu","Dataran Tinggi Vulkanik Wonosobo",-7.391014,109.952024,"POINT(109.952024 -7.391014)",""
"SLJT-R2-023","Tedhak Siten Surakarta","Ring 2 - Terverifikasi Teks",2,"Kota Surakarta","Karesidenan Surakarta","Pusat Kebudayaan Mataram Surakarta",-7.555338,110.821804,"POINT(110.821804 -7.555338)",""
"SLJT-R2-024","Tingalan Jumenengan Dalem Karaton Surakarta","Ring 2 - Terverifikasi Teks",2,"Kota Surakarta","Karesidenan Surakarta","Pusat Karaton Kasunanan Surakarta",-7.591585,110.812276,"POINT(110.812276 -7.591585)",""
"SLJT-R2-025","Tingalan Jumenengan Dalem Puro Mangkunegaran","Ring 2 - Terverifikasi Teks",2,"Kota Surakarta","Karesidenan Surakarta","Pusat Puro Mangkunegaran",-7.559646,110.858727,"POINT(110.858727 -7.559646)",""
"SLJT-R2-026","Tungguk Tembakau Boyolali","Ring 2 - Terverifikasi Teks",2,"Kabupaten Boyolali","Karesidenan Surakarta","Lereng Merapi-Merbabu & Kawasan Tembakau",-7.50578,110.563957,"POINT(110.563957 -7.50578)",""
"SLJT-R2-027","Upacara Adat Apeman Yaqowiyu","Ring 2 - Terverifikasi Teks",2,"Kabupaten Klaten","Karesidenan Surakarta","Dataran Prambanan & Jatinom",-7.718886,110.610725,"POINT(110.610725 -7.718886)",""
"SLJT-R2-028","Upacara Adat Mahesa Lawung","Ring 2 - Terverifikasi Teks",2,"Kota Surakarta","Karesidenan Surakarta","Hutan Krendhawahana & Karaton Surakarta",-7.546548,110.833736,"POINT(110.833736 -7.546548)",""
"SLJT-R2-029","Wahyu Kliyu","Ring 2 - Terverifikasi Teks",2,"Kabupaten Karanganyar","Karesidenan Surakarta","Lereng Barat Gunung Lawu (Jatipuro)",-7.62102,110.923605,"POINT(110.923605 -7.62102)",""
"SLJT-R2-030","Wayang Kulit Purwa Jawa Tengah","Ring 2 - Terverifikasi Teks",2,"Jawa Tengah (Surakarta, Banyumas, Kedu, Pati)","Lintas Karesidenan","Lembah DAS & Episentrum Wayang",-7.161838,110.183755,"POINT(110.183755 -7.161838)",""
"SLJT-R2-031","Wayang Kedu Temanggungan","Ring 2 - Terverifikasi Teks",2,"Kabupaten Temanggung","Karesidenan Kedu","Lereng Gunung Sindoro-Sumbing",-7.262315,110.146929,"POINT(110.146929 -7.262315)",""
"SLJT-R2-032","Wayang Othok Obrol (Varian Naskah)","Ring 2 - Terverifikasi Teks",2,"Kabupaten Wonosobo","Karesidenan Kedu","Dataran Tinggi Vulkanik Wonosobo",-7.389602,109.91052,"POINT(109.91052 -7.389602)",""
"SLJT-R2-033","Wayang Topeng Dalang Klaten","Ring 2 - Terverifikasi Teks",2,"Kabupaten Klaten","Karesidenan Surakarta","Dataran Prambanan & Pedan",-7.683804,110.633106,"POINT(110.633106 -7.683804)",""
"SLJT-R2-034","Wayang Topeng Kedung Panjang","Ring 2 - Terverifikasi Teks",2,"Kabupaten Banyumas","Karesidenan Banyumas","Lembah DAS Serayu & Banyumas Barat",-7.450906,109.199805,"POINT(109.199805 -7.450906)",""
"SLJT-R2-035","Legenda Baru Klinthing & Merti Rawa Pening","Ring 2 - Terverifikasi Teks",2,"Kabupaten Semarang","Karesidenan Semarang","Ekologi Waduk, Rawa & Perairan Darat",-7.226097,110.435173,"POINT(110.435173 -7.226097)",""
"SLJT-R2-036","Tradisi Kungkum & Mitos Sendang Senjoyo","Ring 2 - Terverifikasi Teks",2,"Kabupaten Semarang & Kota Salatiga","Karesidenan Semarang","Ekologi Sendang & Mata Air Sakral",-7.19,110.42509,"POINT(110.42509 -7.19)",""
"SLJT-R2-037","Legenda & Ritus Khaul Sendang Sani","Ring 2 - Terverifikasi Teks",2,"Kabupaten Pati","Karesidenan Pati (Muria Raya)","Ekologi Sendang & Mata Air Sakral",-6.780724,111.0111,"POINT(111.0111 -6.780724)",""
"SLJT-R2-038","Jamasan & Mitos Sendang Coyo","Ring 2 - Terverifikasi Teks",2,"Kabupaten Grobogan","Karesidenan Pati (Muria Raya)","Ekologi Sendang & Mata Air Sakral",-7.111225,110.960189,"POINT(110.960189 -7.111225)",""
"SLJT-R2-039","Sedekah Waduk & Mitos Ular Malahayu","Ring 2 - Terverifikasi Teks",2,"Kabupaten Brebes","Karesidenan Pekalongan","Ekologi Waduk, Rawa & Perairan Darat",-7.005831,108.933039,"POINT(108.933039 -7.005831)",""
"SLJT-R2-040","Sedekah Bumi & Mitos Naga Cacaban","Ring 2 - Terverifikasi Teks",2,"Kabupaten Tegal","Karesidenan Pekalongan","Ekologi Waduk, Rawa & Perairan Darat",-7.049633,109.1593,"POINT(109.1593 -7.049633)",""
"SLJT-R2-041","Syi'iran & Wirid Sendang Nyatnyono","Ring 2 - Terverifikasi Teks",2,"Kabupaten Semarang","Karesidenan Semarang","Ekologi Sendang & Mata Air Sakral",-7.185535,110.444041,"POINT(110.444041 -7.185535)",""
"SLJT-R2-042","Nyadran & Tembang Sendang Gedhe Kandri","Ring 2 - Terverifikasi Teks",2,"Kota Semarang","Karesidenan Semarang","Ekologi Sendang & Mata Air Sakral",-7.006528,110.376176,"POINT(110.376176 -7.006528)",""
"SLJT-R2-043","Kidung Tirta & Mitos Sendang Widodaren","Ring 2 - Terverifikasi Teks",2,"Kabupaten Karanganyar","Karesidenan Surakarta","Ekologi Sendang & Mata Air Sakral",-7.611961,110.968405,"POINT(110.968405 -7.611961)",""
"SLJT-R2-044","Mitos Asal-Usul & Ruwatan Telaga Warna","Ring 2 - Terverifikasi Teks",2,"Kabupaten Wonosobo & Banjarnegara","Karesidenan Kedu","Ekologi Waduk, Rawa & Perairan Darat",-7.341487,109.906436,"POINT(109.906436 -7.341487)",""
"SLJT-R3-001","Arak-Arakan Sam Poo Tay Djien","Ring 3 - Perlu Verifikasi",3,"Kota Semarang","Karesidenan Semarang","Pesisir Pantura & Kawasan Pecinan",-6.96303,110.405648,"POINT(110.405648 -6.96303)",""
"SLJT-R3-002","Bambangan Cakil Surakarta","Ring 3 - Perlu Verifikasi",3,"Kota Surakarta","Karesidenan Surakarta","Pusat Kebudayaan Mataram Surakarta",-7.612681,110.810614,"POINT(110.810614 -7.612681)",""
"SLJT-R3-003","Barikan Karimunjawa","Ring 3 - Perlu Verifikasi",3,"Kabupaten Jepara","Karesidenan Pati (Muria Raya)","Pesisir Kepulauan Laut Jawa",-6.577721,110.688202,"POINT(110.688202 -6.577721)",""
"SLJT-R3-004","Barongan Blora","Ring 3 - Perlu Verifikasi",3,"Kabupaten Blora","Karesidenan Pati (Muria Raya)","Karst Kendeng & Hutan Jati Rimba",-7.009181,111.390503,"POINT(111.390503 -7.009181)",""
"SLJT-R3-005","Bedhaya Bedhah Madiun","Ring 3 - Perlu Verifikasi",3,"Kota Surakarta","Karesidenan Surakarta","Pusat Karaton Kasunanan Surakarta",-7.599,110.844768,"POINT(110.844768 -7.599)",""
"SLJT-R3-006","Gambyong Pareanom","Ring 3 - Perlu Verifikasi",3,"Jawa Tengah (Pusat Surakarta)","Karesidenan Surakarta","Pusat Puro Mangkunegaran",-7.105488,110.14666,"POINT(110.14666 -7.105488)",""
"SLJT-R3-007","Gambyong Retno Kusumo","Ring 3 - Perlu Verifikasi",3,"Jawa Tengah (Pusat Surakarta)","Karesidenan Surakarta","Pusat Puro Mangkunegaran",-7.159453,110.128262,"POINT(110.128262 -7.159453)",""
"SLJT-R3-008","Gamelan Jawa Gaya Surakarta","Ring 3 - Perlu Verifikasi",3,"Kota Surakarta","Karesidenan Surakarta","Pusat Karaton Kasunanan Surakarta",-7.571495,110.850175,"POINT(110.850175 -7.571495)",""
"SLJT-R3-009","Jaranan Margowati","Ring 3 - Perlu Verifikasi",3,"Kabupaten Temanggung","Karesidenan Kedu","Lereng Gunung Sindoro-Sumbing",-7.249857,110.130454,"POINT(110.130454 -7.249857)",""
"SLJT-R3-010","Jembul Tulakan","Ring 3 - Perlu Verifikasi",3,"Kabupaten Jepara","Karesidenan Pati (Muria Raya)","Lereng Utara Gunung Muria",-6.629983,110.676255,"POINT(110.676255 -6.629983)",""
"SLJT-R3-011","Jolenan Somongari","Ring 3 - Perlu Verifikasi",3,"Kabupaten Purworejo","Karesidenan Kedu","Perbukitan Menoreh & Lembah Bogowonto",-7.703663,110.024912,"POINT(110.024912 -7.703663)",""
"SLJT-R3-012","Kebo Kinul","Ring 3 - Perlu Verifikasi",3,"Kabupaten Sukoharjo","Karesidenan Surakarta","Lembah DAS Bengawan Solo",-7.677875,110.809941,"POINT(110.809941 -7.677875)",""
"SLJT-R3-013","Kethek Ogleng Wonogiri","Ring 3 - Perlu Verifikasi",3,"Kabupaten Wonogiri","Karesidenan Surakarta","Pegunungan Karst Gajah Mungkur",-7.845517,110.953622,"POINT(110.953622 -7.845517)",""
"SLJT-R3-014","Labuhan Ageng Pantai Sembukan","Ring 3 - Perlu Verifikasi",3,"Kabupaten Wonogiri","Karesidenan Surakarta","Pesisir Kidul Samudra Hindia",-7.780922,110.915851,"POINT(110.915851 -7.780922)",""
"SLJT-R3-015","Larung Langse Keraton Surakarta","Ring 3 - Perlu Verifikasi",3,"Kota Surakarta","Karesidenan Surakarta","Pesisir Pantai Parangkusumo & Karaton",-7.582875,110.817236,"POINT(110.817236 -7.582875)",""
"SLJT-R3-016","Meron Pati","Ring 3 - Perlu Verifikasi",3,"Kabupaten Pati","Karesidenan Pati (Muria Raya)","Lereng Gunung Muria & Pesisir Sukolilo",-6.747843,111.059121,"POINT(111.059121 -6.747843)",""
"SLJT-R3-017","Mondhosio Pancot","Ring 3 - Perlu Verifikasi",3,"Kabupaten Karanganyar","Karesidenan Surakarta","Lereng Barat Gunung Lawu",-7.589736,110.923224,"POINT(110.923224 -7.589736)",""
"SLJT-R3-018","Ngasa Kabupaten Brebes","Ring 3 - Perlu Verifikasi",3,"Kabupaten Brebes","Karesidenan Pekalongan","Dataran Tinggi Jalawastu (Sunda Brebes)",-7.056825,108.961729,"POINT(108.961729 -7.056825)",""
"SLJT-R3-019","Nyadran Gunung Silurah","Ring 3 - Perlu Verifikasi",3,"Kabupaten Pekalongan","Karesidenan Pekalongan","Dataran Tinggi Rogojembangan",-7.040981,109.630377,"POINT(109.630377 -7.040981)",""
"SLJT-R3-020","Penjamasan Pusaka Sunan Bonang","Ring 3 - Perlu Verifikasi",3,"Kabupaten Rembang","Karesidenan Pati (Muria Raya)","Pesisir Pantura Lasem & Bonang",-6.78622,111.322502,"POINT(111.322502 -6.78622)",""
"SLJT-R3-021","Perang Obor Tegalsambi","Ring 3 - Perlu Verifikasi",3,"Kabupaten Jepara","Karesidenan Pati (Muria Raya)","Pesisir Pantura Tegalsambi",-6.594544,110.708897,"POINT(110.708897 -6.594544)",""
"SLJT-R3-022","Pesta Lomban","Ring 3 - Perlu Verifikasi",3,"Kabupaten Jepara","Karesidenan Pati (Muria Raya)","Pesisir Laut Teluk Jepara",-6.546707,110.651208,"POINT(110.651208 -6.546707)",""
"SLJT-R3-023","Ruwatan Rambut Gimbal Dieng","Ring 3 - Perlu Verifikasi",3,"Kab. Banjarnegara & Wonosobo","Karesidenan Kedu & Banyumas","Dataran Tinggi Vulkanik Dieng",-7.164734,110.137165,"POINT(110.137165 -7.164734)",""
"SLJT-R3-024","Saparan Sebaran Apem Keong Mas","Ring 3 - Perlu Verifikasi",3,"Kabupaten Boyolali","Karesidenan Surakarta","Lembah Pengging & Kaki Merbabu",-7.510059,110.625219,"POINT(110.625219 -7.510059)",""
"SLJT-R3-025","Sedekah Hasil Bumi Jlarang","Ring 3 - Perlu Verifikasi",3,"Kabupaten Banjarnegara","Karesidenan Banyumas","Dataran Tinggi Hulu DAS Serayu",-7.381468,109.649887,"POINT(109.649887 -7.381468)",""
"SLJT-R3-026","Sedulur Sikep Blora","Ring 3 - Perlu Verifikasi",3,"Kabupaten Blora","Karesidenan Pati (Muria Raya)","Pegunungan Kendeng & Hutan Jati",-7.04859,111.445171,"POINT(111.445171 -7.04859)",""
"SLJT-R3-027","Sekaten Surakarta","Ring 3 - Perlu Verifikasi",3,"Kota Surakarta","Karesidenan Surakarta","Alun-Alun Karaton Surakarta Hadiningrat",-7.555001,110.825205,"POINT(110.825205 -7.555001)",""
"SLJT-R3-028","Srimpi Ludiramadu","Ring 3 - Perlu Verifikasi",3,"Kota Surakarta","Karesidenan Surakarta","Pusat Puro Mangkunegaran",-7.588204,110.807714,"POINT(110.807714 -7.588204)",""
"SLJT-R3-029","Srimpi Mondrorini","Ring 3 - Perlu Verifikasi",3,"Kota Surakarta","Karesidenan Surakarta","Pusat Karaton Kasunanan Surakarta",-7.567412,110.860211,"POINT(110.860211 -7.567412)",""
"SLJT-R3-030","Srimpi Muncar","Ring 3 - Perlu Verifikasi",3,"Kota Surakarta","Karesidenan Surakarta","Pusat Karaton Kasunanan Surakarta",-7.54214,110.789351,"POINT(110.789351 -7.54214)",""
"SLJT-R3-031","Srimpi Pandhelori","Ring 3 - Perlu Verifikasi",3,"Kota Surakarta","Karesidenan Surakarta","Pusat Karaton Kasunanan Surakarta",-7.584805,110.827434,"POINT(110.827434 -7.584805)",""
"SLJT-R3-032","Srimpi Sangupati","Ring 3 - Perlu Verifikasi",3,"Kota Surakarta","Karesidenan Surakarta","Pusat Karaton Kasunanan Surakarta",-7.549089,110.838823,"POINT(110.838823 -7.549089)",""
"SLJT-R3-033","Suran Tutup Ngisor Kabupaten Magelang","Ring 3 - Perlu Verifikasi",3,"Kabupaten Magelang","Karesidenan Kedu","Lereng Barat Gunung Merapi",-7.543628,110.180785,"POINT(110.180785 -7.543628)",""
"SLJT-R3-034","Talang Tawing","Ring 3 - Perlu Verifikasi",3,"Kabupaten Banyumas","Karesidenan Banyumas","Lembah DAS Serayu Hulu",-7.476279,109.284989,"POINT(109.284989 -7.476279)",""
"SLJT-R3-035","Tari Cepetan Alas","Ring 3 - Perlu Verifikasi",3,"Kabupaten Kebumen","Karesidenan Kedu","Perbukitan Karst Karangkobar-Gombong",-7.640842,109.660001,"POINT(109.660001 -7.640842)",""
"SLJT-R3-036","Tari Gambyong","Ring 3 - Perlu Verifikasi",3,"Kota Surakarta","Karesidenan Surakarta","Pusat Kebudayaan Mataram Surakarta",-7.592978,110.815063,"POINT(110.815063 -7.592978)",""
"SLJT-R3-037","Tari Srikandi Mustakaweni","Ring 3 - Perlu Verifikasi",3,"Kota Surakarta","Karesidenan Surakarta","Pusat Karaton Kasunanan Surakarta",-7.555595,110.857179,"POINT(110.857179 -7.555595)",""
"SLJT-R3-038","Turonggo Seto Boyolali","Ring 3 - Perlu Verifikasi",3,"Kabupaten Boyolali","Karesidenan Surakarta","Lereng Gunung Merapi-Merbabu (Selo)",-7.510954,110.561877,"POINT(110.561877 -7.510954)",""
"SLJT-R3-039","Upacara Adat Adang Tahun Dal","Ring 3 - Perlu Verifikasi",3,"Kota Surakarta","Karesidenan Surakarta","Pawon Gondorasan Karaton Surakarta",-7.583078,110.83241,"POINT(110.83241 -7.583078)",""
"SLJT-R3-040","Upacara Adat Dandangan Kudus","Ring 3 - Perlu Verifikasi",3,"Kabupaten Kudus","Karesidenan Pati (Muria Raya)","Kawasan Menara Kudus & Kaki Muria",-6.780658,110.850737,"POINT(110.850737 -6.780658)",""
"SLJT-R3-041","Wireng Gatutkaca Dadhungawuk","Ring 3 - Perlu Verifikasi",3,"Kota Surakarta","Karesidenan Surakarta","Pusat Karaton Kasunanan Surakarta",-7.589742,110.795845,"POINT(110.795845 -7.589742)",""
"SLJT-R3-042","Sedekah Waduk & Memori Geger Kedung Ombo","Ring 3 - Perlu Verifikasi",3,"Kab. Grobogan, Boyolali, Sragen","Karesidenan Surakarta & Pati","Ekologi Waduk, Rawa & Perairan Darat",-7.156384,110.184894,"POINT(110.184894 -7.156384)",""
"SLJT-R3-043","Memori Bedhol Desa & Larung Sesaji Waduk Gajah Mungkur","Ring 3 - Perlu Verifikasi",3,"Kabupaten Wonogiri","Karesidenan Surakarta","Ekologi Waduk, Rawa & Perairan Darat",-7.813401,110.915399,"POINT(110.915399 -7.813401)",""
"SLJT-R3-044","Ritus Melempar Batu Sumur & Sendang Jalatunda","Ring 3 - Perlu Verifikasi",3,"Kabupaten Banjarnegara & Wonosobo","Karesidenan Kedu & Banyumas","Ekologi Sendang & Mata Air Sakral",-7.409962,109.683619,"POINT(109.683619 -7.409962)",""
